"地区","累计武汉滞留时间","风险携带者比例","武汉62家定点医院到访比例","华南海鲜市场到访比例","机场到访比例","火车站到访比例","累计确诊人数"
"江苏省",1068587415,0.4422544,0.0143675,0.0005656,0.0015145,0.0128528,24
"黑龙江省",320158510,0.033561,0.0013835,4.04e-05,0,0,10
"湖北省",29686837072,1.683257,0.1246204,0.0044223,0.0012823,0,143
"四川省",595052216,0.2318547,0.0035844,0.0001818,0.0002323,0,4
"浙江省",1544698515,0.1643802,0.0053109,0.0001414,0,0,64
"山西省",645548892,0.1770413,0.0068455,8.08e-05,0.0010197,0,3
"山东省",665903831,0.1226518,0.0034733,0.0001717,0,0,3
"江苏省",1025331630,0.1583019,0.0055329,0.0001414,0,0,9
"河北省",599651385,0.2035241,0.0051189,0.0001818,0.0001616,0,3
"湖北省",18710684312,0.9674906,0.0672725,0.0021708,0,0,44
"甘肃省",646339215,0.1066891,0.0034229,0.0001414,0,0,2
"辽宁省",182423977,0.0607606,0.001868,0.0001111,0,0,2
"吉林省",210510289,0.0175782,0.000707,0,0,0,1
"内蒙古自治区",237761981,0.0261702,0.0010098,3.03e-05,0,0,1
"北京市",243215871,0.0353577,0.0012722,4.04e-05,0,0,8
"陕西省",71222137,0.0286134,0.0004645,1.01e-05,0,0,5
"重庆市",110798443,0.0249786,0.0005654,3.03e-05,0,0,2
"安徽省",747090953,0.099349,0.0033722,9.09e-05,0,0,10
"贵州省",755337685,0.1872384,0.0053412,0.0002121,0,0,2
"重庆市",148769023,0.022091,0.0006765,3.03e-05,0,0,2
"新疆维吾尔自治区",57316054,0.0167601,0.000636,1.01e-05,0,0,1
"海南省",191403914,0.024181,0.00105,3.03e-05,0,0,8
"重庆市",1464649565,0.2199608,0.0047655,0.0002322,0.000414,0,24
"山东省",355195793,0.0388207,0.0013832,5.05e-05,7.07e-05,0,14
"山东省",907707877,0.1734973,0.0044525,9.09e-05,0.0001212,0,7
"陕西省",660251672,0.1542029,0.0038568,7.07e-05,0.000101,0,4
"浙江省",2572554619,0.2526537,0.0093395,0.0004747,0.001565,0.0004342,172
"内蒙古自治区",200811777,0.0270588,0.0007069,0,0,0,1
"新疆维吾尔自治区",607926520,0.1301637,0.0055835,0.000202,0.0041497,0,7
"重庆市",297384663,0.1278714,0.0028674,0.0001515,0,0,5
"重庆市",542099530,0.0296431,0.0011308,2.02e-05,0,0,7
"江苏省",800173750,0.3057606,0.0097634,0.0004141,0.0002524,0.008592,10
"安徽省",1169712559,0.2051395,0.0067748,0.0002828,0,0,14
"宁夏回族自治区",145532358,0.0458985,0.0007775,4.04e-05,0,0,5
"广西壮族自治区",320351034,0.1156649,0.0033016,0.000101,0.0003837,0,4
"重庆市",62119537,0.0239487,0.0005351,0,0,0,1
"陕西省",1445482688,0.5069626,0.0190016,0.0004545,0.0113687,0,22
"北京市",217875846,0.1446921,0.0081681,0.0002828,0.0003938,0.0169822,12
"青海省",370937894,0.0666667,0.0019991,2.02e-05,2.02e-05,0,6
"天津市",87452267,0.0411127,0.0010501,5.05e-05,0,0.0007774,2
"云南省",224812502,0.0206877,0.0009795,0,0,0,10
"内蒙古自治区",91825143,0.0096525,0.000404,2.02e-05,0,0,2
"湖北省",24846254302,1.4046861,0.1112627,0.0037963,0,0,55
"湖北省",33688665266,2.366563,0.184078,0.0047757,0,0,130
"陕西省",757761806,0.2420722,0.0073302,0.0001818,0.0068958,0,5
"湖南省",1156326452,0.3431982,0.0131962,0.0006262,0,0,9
"湖南省",759500493,0.1783535,0.005967,0.0002727,0,0,4
"湖北省",37705451351,2.7425041,0.1573934,0.0056745,0.0352064,0,163
"湖北省",103583078798,6.0872189,0.4898283,0.0211118,0.0008178,0,399
"河南省",1345865542,0.4088755,0.0121765,0.0005656,0.0023323,0,11
"江西省",334858549,0.0840934,0.0024535,0.0001616,0,0,11
"河南省",13165886314,1.6253137,0.1012371,0.0030394,0.0032813,0,42
"河北省",1113062505,0.3228033,0.0080166,0.0002727,1.01e-05,0,5
"内蒙古自治区",78346600,0.0099655,0.0003838,0,0,0,1
"江苏省",579209604,0.0962293,0.0023526,5.05e-05,0,0,4
"安徽省",996537547,0.0857187,0.0045838,0.000202,0,0,6
"安徽省",1281689421,0.1631483,0.0045334,0.0002121,0,0,10
"重庆市",146846691,0.0194558,0.0005553,2.02e-05,0,0,1
"上海市",182033571,0.0822155,0.0039781,0.0001515,0.0001717,0.0059166,5
"江苏省",1450884360,0.3124244,0.0096828,0.0004242,4.04e-05,0.0052098,15
"河南省",1522399254,0.4374685,0.0140241,0.0005151,3.03e-05,0,3
"安徽省",506179004,0.1265994,0.0040992,0.0001919,0,0,4
"四川省",110450481,0.056732,0.0009795,2.02e-05,2.02e-05,0,2
"山东省",795832737,0.1056797,0.003564,6.06e-05,0.0002424,0,13
"陕西省",167598874,0.0957047,0.0009897,2.02e-05,0,0,3
"吉林省",165275421,0.0191734,0.0009694,6.06e-05,0.0004746,0,2
"江苏省",1171439538,0.1628556,0.0043819,0.0001919,7.07e-05,0,6
"江苏省",953316544,0.1883088,0.0062802,0.0001919,0,0,8
"广东省",315505301,0.051684,0.0020194,0.0001313,0,0,10
"山西省",183021013,0.0298552,0.0007674,1.01e-05,0,0,1
"上海市",130554081,0.0406181,0.0019285,0,0.0012015,0,1
"新疆维吾尔自治区",229674187,0.0211421,0.0008382,4.04e-05,4.04e-05,0,4
"四川省",550575567,0.2134382,0.0025643,3.03e-05,0,0,5
"湖北省",23981939365,2.5558615,0.1416731,0.0047152,0.0036247,0,117
"江西省",2774984143,0.3125561,0.0110257,0.0004545,1.01e-05,0,14
"湖南省",2106837165,0.200697,0.0077542,0.0002626,0,0,17
"宁夏回族自治区",374589104,0.0759152,0.0028775,3.03e-05,0.0001515,0,9
"江西省",530266708,0.0804787,0.0024131,0.000101,0,0,3
"辽宁省",159127143,0.0316728,0.0006968,2.02e-05,0.000414,0,1
"重庆市",136639194,0.0287749,0.0005048,2.02e-05,0.0007371,0,3
"湖南省",1310884100,0.3096073,0.0097937,0.0003535,0,0,14
"重庆市",458301173,0.2193351,0.0078754,0.0003433,0.0186381,0.0250897,8
"重庆市",157303919,0.0852341,0.0030996,0.0001212,0.0001919,0,5
"陕西省",189802480,0.0899697,0.0011714,2.02e-05,0,0,1
"广西壮族自治区",700272329,0.084184,0.0025141,7.07e-05,0,0,2
"云南省",198051078,0.0573378,0.0017467,0,0,0,6
"湖南省",4264758944,1.2880325,0.0634666,0.0029282,0,0,29
"重庆市",804824899,0.1692869,0.0033015,0.0001515,0,0,13
"山西省",1079897273,0.1281338,0.0030391,3.03e-05,0.0001515,0,7
"山东省",423101157,0.0707256,0.0023929,0.000101,0,0,9
"广东省",625967584,0.1861884,0.0057046,0.0002121,0.000212,0,11
"湖南省",412596611,0.0505024,0.0017366,5.05e-05,0,0,1
"河北省",394738435,0.0686461,0.002161,5.05e-05,1.01e-05,0,6
"甘肃省",194410384,0.0639006,0.0011411,0.000101,0.0002221,0,2
"福建省",479525870,0.1057602,0.0035237,8.08e-05,0,0,7
"吉林省",637642127,0.1644913,0.0059065,6.06e-05,0.001141,0.0005049,4
"上海市",105190558,0.0784897,0.0035843,0.0001212,0.0015852,0,5
"湖南省",3672963194,1.6684862,0.0755823,0.002696,0.0224546,0.0872131,57
"重庆市",200421726,0.0515928,0.0010904,6.06e-05,0,0,7
"河南省",371153777,0.0500178,0.0013428,4.04e-05,0,0,1
"山西省",526812011,0.1111016,0.0027768,8.08e-05,7.07e-05,0,3
"云南省",452778613,0.1217733,0.0014945,6.06e-05,0,0,4
"广东省",304111557,0.1073253,0.0023324,0.0002323,0,0,5
"江苏省",542205857,0.1827757,0.0065021,0.0003636,0,0,2
"河南省",2614844297,1.1951754,0.0465348,0.0018882,0.0206472,0.0657884,46
"广东省",637653309,0.0799638,0.0028977,0.0001313,0,0,18
"宁夏回族自治区",124819155,0.0410118,0.0004847,0,0,0,1
"重庆市",372678414,0.0793378,0.0013429,7.07e-05,0,0,12
"浙江省",129036080,0.0233836,0.0007674,2.02e-05,0,0,6
"河南省",4659998911,0.6865274,0.0223436,0.0007979,0,0,25
"广东省",947915372,0.1160787,0.0059973,0.000202,0.0006462,0,26
"湖南省",1530382401,0.4497459,0.0174873,0.0006161,0.0002726,0,18
"河南省",6377598425,1.2645379,0.0454544,0.001535,7.07e-05,0,25
"四川省",403731931,0.1052555,0.0017468,3.03e-05,0,0,2
"山东省",478550443,0.1116565,0.0027563,0.0001313,2.02e-05,0,8
"四川省",350389153,0.1038217,0.0014337,1.01e-05,0.0013126,0,7
"贵州省",1077320341,0.2067855,0.0050888,0.0002929,0,0,1
